admcd	admnm	lon	lat
1123053000	서울특별시 동대문구 용두제2동	127.034	37.576
1123053500	서울특별시 동대문구 용두동	127.034	37.576
1123053600	서울특별시 동대문구 용신동	127.034	37.576
1123054000	서울특별시 동대문구 제기제1동	127.037	37.585
1123054500	서울특별시 동대문구 제기동	127.037	37.585
1123055000	서울특별시 동대문구 제기제2동	127.037	37.585
1123056000	서울특별시 동대문구 전농제1동	127.05	37.58
1123057000	서울특별시 동대문구 전농제2동	127.062	37.581
1123058000	서울특별시 동대문구 전농제3동	127.062	37.581
1123059000	서울특별시 동대문구 전농제4동	127.062	37.581
1123060000	서울특별시 동대문구 답십리제1동	127.052	37.57
1123061000	서울특별시 동대문구 답십리제2동	127.061	37.57
1123062000	서울특별시 동대문구 답십리제3동	127.052	37.57
1123063000	서울특별시 동대문구 답십리제4동	127.061	37.57
1123064000	서울특별시 동대문구 답십리제5동	127.052	37.57
1123065000	서울특별시 동대문구 장안제1동	127.069	37.566
1123066000	서울특별시 동대문구 장안제2동	127.073	37.575
1123067000	서울특별시 동대문구 장안제3동	127.072	37.566
1123068000	서울특별시 동대문구 장안제4동	127.073	37.575
1123069000	서울특별시 동대문구 청량리제1동	127.046	37.588
1123070000	서울특별시 동대문구 청량리제2동	127.046	37.588
1123070500	서울특별시 동대문구 청량리동	127.046	37.588
1123071000	서울특별시 동대문구 회기동	127.051	37.594
1123072000	서울특별시 동대문구 휘경제1동	127.062	37.591
1123073000	서울특별시 동대문구 휘경제2동	127.064	37.587
1123074000	서울특별시 동대문구 이문제1동	127.062	37.597
1123075000	서울특별시 동대문구 이문제2동	127.067	37.603
1123076000	서울특별시 동대문구 이문제3동	127.067	37.603
1126000000	서울특별시 중랑구	127.094	37.595
1126051000	서울특별시 중랑구 면목제1동	127.089	37.589
1126052000	서울특별시 중랑구 면목제2동	127.078	37.589
1126053000	서울특별시 중랑구 면목제3동	127.093	37.582
1126054000	서울특별시 중랑구 면목제4동	127.086	37.573
1126055000	서울특별시 중랑구 면목제5동	127.08	37.582
1126056000	서울특별시 중랑구 면목제6동	127.089	37.589
1126056500	서울특별시 중랑구 면목본동	127.089	37.589
1126057000	서울특별시 중랑구 면목제7동	127.095	37.576
1126057100	서울특별시 중랑구 면목제8동	127.101	37.585
1126057500	서울특별시 중랑구 면목제3.8동	127.101	37.585
1126058000	서울특별시 중랑구 상봉제1동	127.09	37.602
1126059000	서울특별시 중랑구 상봉제2동	127.086	37.595
1126060000	서울특별시 중랑구 중화제1동	127.083	37.603
1126061000	서울특별시 중랑구 중화제2동	127.075	37.599
1126061100	서울특별시 중랑구 중화제3동	127.075	37.599
1126062000	서울특별시 중랑구 묵제1동	127.081	37.613
1126063000	서울특별시 중랑구 묵제2동	127.075	37.611
1126064000	서울특별시 중랑구 망우제1동	127.109	37.603
1126065000	서울특별시 중랑구 망우제2동	127.109	37.603
1126065500	서울특별시 중랑구 망우본동	127.109	37.603
1126066000	서울특별시 중랑구 망우제3동	127.103	37.592
1126068000	서울특별시 중랑구 신내1동	127.099	37.61
1126069000	서울특별시 중랑구 신내2동	127.092	37.609
1129000000	서울특별시 성북구	127.027	37.607
1129051000	서울특별시 성북구 성북제1동	126.995	37.595
1129052000	서울특별시 성북구 성북제2동	126.995	37.595
1129052500	서울특별시 성북구 성북동	126.995	37.595
1129053000	서울특별시 성북구 동소문동	127.011	37.586
1129054000	서울특별시 성북구 삼선제1동	127.011	37.586
1129055000	서울특별시 성북구 삼선제2동	127.014	37.587
1129055500	서울특별시 성북구 삼선동	127.011	37.586
1129056000	서울특별시 성북구 동선제1동	127.018	37.594
1129057000	서울특별시 성북구 동선제2동	127.018	37.594
1129057500	서울특별시 성북구 동선동	127.018	37.594
1129058000	서울특별시 성북구 돈암제1동	127.023	37.599
1129059000	서울특별시 성북구 돈암제2동	127.009	37.597
1129060000	서울특별시 성북구 안암동	127.027	37.587
1129061000	서울특별시 성북구 보문동	127.018	37.583
1129062000	서울특별시 성북구 정릉제1동	127.016	37.606
1129063000	서울특별시 성북구 정릉제2동	127.008	37.604
1129064000	서울특별시 성북구 정릉제3동	127.001	37.615
1129065000	서울특별시 성북구 정릉제4동	126.998	37.622
1129066000	서울특별시 성북구 길음제1동	127.02	37.608
1129067000	서울특별시 성북구 길음제2동	127.027	37.608
1129068000	서울특별시 성북구 길음제3동	127.027	37.608
1129068500	서울특별시 성북구 길음제2동	127.027	37.608
1129069000	서울특별시 성북구 종암제1동	127.033	37.598
1129070000	서울특별시 성북구 종암제2동	127.033	37.598
1129070500	서울특별시 성북구 종암동	127.033	37.598
1129071500	서울특별시 성북구 월곡제1동	127.036	37.608
1129072500	서울특별시 성북구 월곡제2동	127.045	37.603
1129073500	서울특별시 성북구 월곡제3동	127.036	37.608
1129074500	서울특별시 성북구 월곡제4동	127.036	37.608
1129075000	서울특별시 성북구 상월곡동	127.045	37.603
1129076000	서울특별시 성북구 장위제1동	127.044	37.616
1129077000	서울특별시 성북구 장위제2동	127.053	37.613
1129078000	서울특별시 성북구 장위제3동	127.054	37.618
1129079000	서울특별시 성북구 석관제1동	127.06	37.608
1129080000	서울특별시 성북구 석관제2동	127.06	37.608
1129081000	서울특별시 성북구 석관동	127.06	37.608
1130500000	서울특별시 강북구	127.005	37.647
